1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40, 0.697
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39, 0.722
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39, 0.741
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39, 0.749
2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39, 0.755
2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 26 27 28 29 30 31 32 33 34 35 36 37 38 39, 0.759
2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 26 27 28 29 30 31 32 33 34 36 37 38 39, 0.761
2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 26 27 28 29 30 31 32 33 34 36 37 39, 0.765
2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 26 27 28 29 30 31 33 34 36 37 39, 0.776
2 3 4 5 7 8 9 11 12 13 14 15 16 17 18 19 20 21 22 24 26 27 28 29 30 31 33 34 36 37 39, 0.771
2 3 4 5 7 8 9 11 12 13 14 15 17 18 19 20 21 22 24 26 27 28 29 30 31 33 34 36 37 39, 0.779
2 3 4 5 7 8 9 11 12 13 14 15 17 18 19 20 21 22 24 26 27 28 29 30 31 33 34 37 39, 0.781
2 3 4 5 7 8 9 11 12 13 14 15 17 18 19 20 21 24 26 27 28 29 30 31 33 34 37 39, 0.782
2 3 4 7 8 9 11 12 13 14 15 17 18 19 20 21 24 26 27 28 29 30 31 33 34 37 39, 0.773
2 3 4 7 8 9 11 12 13 14 15 17 18 19 20 21 24 26 27 28 30 31 33 34 37 39, 0.775
2 3 4 7 8 9 11 12 13 14 15 17 18 19 21 24 26 27 28 30 31 33 34 37 39, 0.778
3 4 7 8 9 11 12 13 14 15 17 18 19 21 24 26 27 28 30 31 33 34 37 39, 0.770
3 4 7 8 9 11 13 14 15 17 18 19 21 24 26 27 28 30 31 33 34 37 39, 0.773
3 4 7 8 9 11 13 14 15 17 18 19 21 24 26 27 28 30 33 34 37 39, 0.782
3 4 7 8 9 11 13 14 15 17 18 19 21 24 26 27 28 30 34 37 39, 0.781
3 4 7 9 11 13 14 15 17 18 19 21 24 26 27 28 30 34 37 39, 0.780
3 4 7 9 11 13 14 15 17 18 19 21 24 26 28 30 34 37 39, 0.781
3 4 7 9 11 13 14 15 17 18 19 21 24 26 28 30 37 39, 0.779
3 4 9 11 13 14 15 17 18 19 21 24 26 28 30 37 39, 0.783
3 4 9 11 13 14 15 17 18 19 21 26 28 30 37 39, 0.782
3 9 11 13 14 15 17 18 19 21 26 28 30 37 39, 0.789
3 11 13 14 15 17 18 19 21 26 28 30 37 39, 0.791
11 13 14 15 17 18 19 21 26 28 30 37 39, 0.781
11 13 14 15 17 18 21 26 28 30 37 39, 0.777
11 14 15 17 18 21 26 28 30 37 39, 0.770
11 15 17 18 21 26 28 30 37 39, 0.785
11 15 17 18 21 26 28 37 39, 0.777
11 15 17 21 26 28 37 39, 0.780
11 15 17 21 26 28 37, 0.784
11 17 21 26 28 37, 0.796
11 21 26 28 37, 0.805
11 21 28 37, 0.820
11 21 37, 0.856
21 37, 0.860
37, 0.854
, 0.832
